word,dialect,definition,example_runyoro,example_rutooro,related_words
nkulingo,Runyoro-Rutooro,roundness,,,
nkumba,Runyoro-Rutooro,white millet,,,
nkumbititi,Runyoro-Rutooro,"enk. y'abantu, multitude, crowd, abundance of people",enk. y'abantu,enk. y'abantu,
nkunda,Runyoro-Rutooro,red-tailed cercopitheque (monkey,,,
nkundi,Runyoro-Rutooro,part of ambilical cord attached to navel,,,
nkunga,Runyoro-Rutooro,red-tailed colobus monkey,eny 'ababi; enjura egwire enkungani y'ababi,eny 'ababi; enjura egwire enkungani y'ababi,"enkima, enkende"
nkungu,Runyoro-Rutooro,"pl. same}, land belonging to a minor chief omukungu",,,
nkunguzi,Runyoro-Rutooro,hang nail,one who is aJways crying (supposed to bring ill luck). nkunuukizi,one who is aJways crying (supposed to bring ill luck). nkunuukizi,
nkura,Runyoro-Rutooro,rhinoceros,,,
nkurambi,Runyoro-Rutooro,stunted person or thing,,,
nkuru,Runyoro-Rutooro,smaJl pieces of dry flesh scraped off a hide,,,
nkurungu,Runyoro-Rutooro,"cheat, swindler, crafty person",cheat,cheat,
nkurungutaniza,Runyoro-Rutooro,"subtlety, cunning, cheating, crafty person. nk:urwa, e-, n., cl.9, (pl. same",red clay (used for colouring pots; subtlety,red clay (used for colouring pots; subtlety,
nkuubule,Runyoro-Rutooro,large healthy person or animal,,,
nkuya,Runyoro-Rutooro,a large ape,,,
nkwa,Runyoro-Rutooro,"en. y 'om11ko110, shoulder blade",,,
nkwasi,Runyoro-Rutooro,"gum, glue",gum,gum,
nkwatirizi,Runyoro-Rutooro,"careful, deliberate, economical person",careful,careful,
nkwisi,Runyoro-Rutooro,piece of cooked oburo eaten without i,,,
nkwomoro,Runyoro-Rutooro,waning moon (seen in early morning,,,
nkyakya,Runyoro-Rutooro,cracks on side of feel and hands (palms,,,
nldzi,Runyoro-Rutooro,"spinal cord, fright, terrorpanic",spinal cord,spinal cord,
noba,Runyoro-Rutooro,"hate, abhor","to hate; pass.form, 11obwa, ku-, oku- (pf. -noberwe)","to hate; pass.form, 11obwa, ku-, oku- (pf. -noberwe)",
nobi,Runyoro-Rutooro,"dislike, enemy, hatred. noga, kn-, .tr",to pick; dislike,to pick; dislike,
nogoka,Runyoro-Rutooro,"to dropoff(fruit). nogoorra, kn-, okn-, v.tr",to cul off branches; pass. form,to cul off branches; pass. form,
nogora,Runyoro-Rutooro,break off easily (e.g. ripe fruit,,,
noijoro,Runyoro-Rutooro,"-11aijora, e-. (foreg",,,
nokora,Runyoro-Rutooro,"it takes the suffix -mu, to pluck out, remove from the socket: ente ye baginokoiremu eriiso, they have plucked out his cow's eye","it takes the suffix -mu; it takes the suffix -mu, to pluck out, remove from the socket: ente ye baginokoiremu eriiso, they have plucked out his cow's eye","it takes the suffix -mu; it takes the suffix -mu, to pluck out, remove from the socket: ente ye baginokoiremu eriiso, they have plucked out his cow's eye",
nomad,Runyoro-Rutooro,"omujeezi, omugenzigenzi. nibble, v., gujaguja, lya kansumansuma, sabura. nominate, v., soroora, koma, tongora",,,
nomba,Runyoro-Rutooro,"paint (face), with chalk, etc",,,
nondwa,Runyoro-Rutooro,tree with edible fruits,,,
none,Runyoro-Rutooro,"see busaho, busayo, busamu",,,busaho
nonsense,Runyoro-Rutooro,"ebitarum, obudomadoma, ekitaamutole",,,
noon,Runyoro-Rutooro,ihangwc,,,
nooo,Runyoro-Rutooro,"nail, claw",nail; en. y'ebigambo,nail; en. y'ebigambo,
noose,Runyoro-Rutooro,bw'emoso,,,
nose,Runyoro-Rutooro,enyindo,turn up n. at; have nose stuffed up,turn up n. at; have nose stuffed up,
notch,Runyoro-Rutooro,"engiga. notch, v., banga, giga, ninga, sura, sara, tema, jabura",be notched,be notched,
note,Runyoro-Rutooro,akabbaruha,,,
noted,Runyoro-Rutooro,"-manyirwe. notice, v., etegereza, rora, kenga manyiirra, bona",give n. of; bring to n,give n. of; bring to n,
notice,Runyoro-Rutooro,"akamanyiso, kumanyisibwa bukyali kara",,,
nourishment,Runyoro-Rutooro,"ebyokuJya. novel, adj., -hyaka",,,
novice,Runyoro-Rutooro,omuhyaka,even now,even now,
nowadays,Runyoro-Rutooro,"omubiro binu, ebiro binuuna",,,
nozzle,Runyoro-Rutooro,"enkero nuisance, be a, hadwa, hambwa, haratwa. numb, become, sarara, kookoota",,,
npone,Runyoro-Rutooro,half-cooked food,,,
nsa,Runyoro-Rutooro,"brown duiker, sheaf of millet (oburo",brown duiker,brown duiker,
nsaamo,Runyoro-Rutooro,grooved mallet for beating out barkcloth,,,
nsabi,Runyoro-Rutooro,"nsabi, e-, tall slender forest tree with small purple flowers and milky latex. Bosqueia phoberos",,,
nsagalizi,Runyoro-Rutooro,"girl attendant of bride, matron",,,
nsahu,Runyoro-Rutooro,"bag, pocket, sack",bag,bag,
nsande,Runyoro-Rutooro,"sweet banana juice, fruitjuice. nsanganibanywan a, 11. cl.9, (pl. same), small plant with sweet-smelling roots","sweet banana juice; sweet banana juice, fruitjuice. nsanganibanywan a, 11. cl.9, (pl. same), small plant with sweet-smelling roots","sweet banana juice; sweet banana juice, fruitjuice. nsanganibanywan a, 11. cl.9, (pl. same), small plant with sweet-smelling roots",
nsaramaizi,Runyoro-Rutooro,insect that drots about in water,,,
nsarara,Runyoro-Rutooro,"meat on inner side of back, steak",meat on inner side of back,meat on inner side of back,
nsasi,Runyoro-Rutooro,a bird found near cattle =e11diisa,,,e
nsecnene,Runyoro-Rutooro,edible grasshoppers,,,
nseege,Runyoro-Rutooro,,poor person. nscegu,poor person. nscegu,omuseege
nseeri,Runyoro-Rutooro,"the other side, yonder, across",,,
nseesekale,Runyoro-Rutooro,an attribute to another noun after a relevant genitive particle,,,
nseesi,Runyoro-Rutooro,"extravagant, wasteful person, spendthrift, agitator",extravagant,extravagant,
nsendwa,Runyoro-Rutooro,exile,,,
nsenge,Runyoro-Rutooro,giant hog,,,
nsengo,Runyoro-Rutooro,fetters,,,
nsenyeerre,Runyoro-Rutooro,virgin land or land under sweet potatoes for the first time,virgin land or land under sweet potatoes for the first time,virgin land or land under sweet potatoes for the first time,
nsere,Runyoro-Rutooro,"hippopotamus ''njubu, e-",hippopotamus ''njubu,hippopotamus ''njubu,
nsezi,Runyoro-Rutooro,miserable person,,,
nsi,Runyoro-Rutooro,"the earth, land, country",the earth,the earth,
nsibago,Runyoro-Rutooro,cane for bow-string,,,
nsibiko,Runyoro-Rutooro,"tamu en., trip in wrestling",,,
nsigo,Runyoro-Rutooro,kidney,,,
nsiisi,Runyoro-Rutooro,"one who spoils things, vandal",en.esiisa akaayo; one who spoils things,en.esiisa akaayo; one who spoils things,
nsiisira,Runyoro-Rutooro,"booths, camp, hut",booths,booths,
nsiiso,Runyoro-Rutooro,upper grindstone,,,
nsimbo,Runyoro-Rutooro,"fit, epilepsy",gourd for butter; fit,gourd for butter; fit,
nsimbyemu,Runyoro-Rutooro,variety of potato,,,
nsinda,Runyoro-Rutooro,"sigh, groan",sigh,sigh,
nsindikwa,Runyoro-Rutooro,tree stump dug up for firewood,tree stump dug up for firewood,tree stump dug up for firewood,
nsindirirwa,Runyoro-Rutooro,"muzzle-loader. nsindi.rizi, e-, (pl. same",muzzle-loader. nsindi.rizi; sad,muzzle-loader. nsindi.rizi; sad,
nsinduro,Runyoro-Rutooro,full moon when rising,,,
nsinika,Runyoro-Rutooro,grin,,,
nsiojo,Runyoro-Rutooro,cold chisel,,,
nsirabu,Runyoro-Rutooro,oribi,,,
nsirali,Runyoro-Rutooro,wanned-up food,,,
nsirimuko,Runyoro-Rutooro,the other side (of a hill,,,
nsisana,Runyoro-Rutooro,"shape, appearance",shape,shape,
nso,Runyoro-Rutooro,"knee-cup, patella",knee-cup,knee-cup,
nsole,Runyoro-Rutooro,pl. same,young dog,young dog,
nsolima,Runyoro-Rutooro,a large species of rat,,,
nsomerano,Runyoro-Rutooro,cow or other property of dead man taken by bis chief,,,
nsonambere,Runyoro-Rutooro,insect that eat plantains,,,
nsondo,Runyoro-Rutooro,cape (of land,,,
nsondokozi,Runyoro-Rutooro,"""musondokozi, o-",,,
nsoni,Runyoro-Rutooro,tertiary syphilis,shame,shame,
nsoogo,Runyoro-Rutooro,"en.y'omutwe, prominent forehead. nsongora, c-. n cl. 9, (pl. same","en.y'omutwe; en.y'omutwe, prominent forehead. nsongora, c-. n cl. 9, (pl. same)","en.y'omutwe; en.y'omutwe, prominent forehead. nsongora, c-. n cl. 9, (pl. same)",the
nsooki,Runyoro-Rutooro,insolent person,,,
nsookoomi,Runyoro-Rutooro,early morning sun heat before 7:00 a.m,,,usooki
nsoorrookana,Runyoro-Rutooro,assemblies,ensoorrookana zaabo tizaabamuga abantu baingi,ensoorrookana zaabo tizaabamuga abantu baingi,
nsoroozai,Runyoro-Rutooro,"collection, collecting. nsorosozi, c-, (pl. same",collection,collection,omusondolvi
nsuku,Runyoro-Rutooro,red duiker,,,
nsumba,Runyoro-Rutooro,young plantain tree which has rrt born fruity,"el lumi ekwasire ensumba bagiraba hara; ente en., cows herdeo oy a hired man","el lumi ekwasire ensumba bagiraba hara; ente en., cows herdeo oy a hired man",
nsumbi,Runyoro-Rutooro,pl. same,,,
nsungura,Runyoro-Rutooro,pl. same,,,
nsunsunikizo,Runyoro-Rutooro,"extreme edge, unsafe place",extreme edge,extreme edge,
nsusu,Runyoro-Rutooro,flakes of skin,,,
nswagiro,Runyoro-Rutooro,"noise made by people or animal when moving, footsteps",noise made by people or animal when moving,noise made by people or animal when moving,
nswaswa,Runyoro-Rutooro,"footfall, footsteps",footfall,footfall,
nswija,Runyoro-Rutooro,miJk or beer left in vessel after drinking,,,
ntaabusule,Runyoro-Rutooro,"weJJ-bom, nice-looking person. ntaahanyeoka ,e-,11., cl.9, (pl. nil",weJJ-bom; creeping plant with pink flower used as a perfume = ommIywalliiwenka11da,weJJ-bom; creeping plant with pink flower used as a perfume = ommIywalliiwenka11da,ommIywalliiwenka
ntaahi,Runyoro-Rutooro,swallow,,,
ntaama,Runyoro-Rutooro,sheep,,,
ntaaml,Runyoro-Rutooro,fool,,,
ntaamusilke,Runyoro-Rutooro,small millet ground without roasting for making obusera,,,
ntaate,Runyoro-Rutooro,"child's attempt to walk witJ10ut holding a person's hand or a wall, omwana agenda en.! words chanted by a child'sayah when the child is attempting to waJk without holding a person's hand",child's attempt to walk witJ10ut holding a person's hand or a wall,child's attempt to walk witJ10ut holding a person's hand or a wall,
ntabaazi,Runyoro-Rutooro,flamingo,,,
ntabiganya,Runyoro-Rutooro,fierce leopard or man-eating animal,,,
ntabo,Runyoro-Rutooro,"red clay, fertile soil",red clay,red clay,
ntabuguguna,Runyoro-Rutooro,"mean, stiny person",mean,mean,
ntahata,Runyoro-Rutooro,"of water, an extra small container carried together with big container. ntahu urra, e-, n. ^ cl. ^ , (pl. same",fierce animal witJ1noears; of water,fierce animal witJ1noears; of water,
ntaiki,Runyoro-Rutooro,"species of edible tennite, the anthill in which they live",species of edible tennite,species of edible tennite,
ntaka,Runyoro-Rutooro,"clod,sod",,,
ntakalyaga,Runyoro-Rutooro,one who has never eaten or tasted something special,,,
ntaleyirungu,Runyoro-Rutooro,"ntaleyirungu, e-, Satinwoods. Forest trees with lustrous yellow wood, usually with spines on the trunk. Fagara spp",,,
ntambu,Runyoro-Rutooro,"pace, short distance",pace; akaba ali omumaiso ge nk 'entambu ikumi,pace; akaba ali omumaiso ge nk 'entambu ikumi,
ntamu,Runyoro-Rutooro,"Thomas Kob, eland",Thomas Kob,Thomas Kob,
ntamujuguta,Runyoro-Rutooro,"civet cat = kitabujuguta, e-",civet cat = kitabujuguta,civet cat = kitabujuguta,kitabujuguta
ntamusiya,Runyoro-Rutooro,umbrella (archaic,,,
ntanganao,Runyoro-Rutooro,creeping plant witJ1 strongly scented white flowers and fruit like a striped pumpkin,creeping plant witJ1 strongly scented white flowers and fruit like a striped pumpkin,creeping plant witJ1 strongly scented white flowers and fruit like a striped pumpkin,
ntangize,Runyoro-Rutooro,"timeju st after sunrise. ntanyuunyirwa, c-, n., cl.9, (pl. same",timeju st after sunrise. ntanyuunyirwa,timeju st after sunrise. ntanyuunyirwa,
ntanyeenya,Runyoro-Rutooro,mannii,,,
ntaogatangano,Runyoro-Rutooro,"cross roads, junction",cross roads,cross roads,
ntaragirwa,Runyoro-Rutooro,intruder,,,
ntarama,Runyoro-Rutooro,shallow soil,,,
ntaratazi,Runyoro-Rutooro,"wanderer, roamer","wanderer; wanderer, roamer","wanderer; wanderer, roamer",
ntasi,Runyoro-Rutooro,"spy, scout",spy,spy,
ntayomba,Runyoro-Rutooro,cured hide worn as skirt,,,
ntcrebuki,Runyoro-Rutooro,"shirker, dodger, one who is easily discouraged by size of something","shirker; shirker, dodger, one who is easily discouraged by size of something","shirker; shirker, dodger, one who is easily discouraged by size of something",
nte,Runyoro-Rutooro,cow,eny'abaana,eny'abaana,
ntebe,Runyoro-Rutooro,chair,,,
ntebeza,Runyoro-Rutooro,way of preaching,,,
nteebereza,Runyoro-Rutooro,"conjecture, forecast en. y 'obwire, weather forecast","conjecture, forecast en. y 'obwire, weather forecast.; conjecture","conjecture, forecast en. y 'obwire, weather forecast.; conjecture",
nteekaniza,Runyoro-Rutooro,"preparation, arrangement",preparation,preparation,
nteeko,Runyoro-Rutooro,pl. same,settle,settle,
nteerabwire,Runyoro-Rutooro,"metaphorical name for a cock used by Nyamiyonga the King of the unknown country as a riddle for Isaza Waraga, the eigtcenth King of Kitara",metaphorical name for a cock used by Nyamiyonga the King of the unknown country as a riddle for Isaza Waraga,metaphorical name for a cock used by Nyamiyonga the King of the unknown country as a riddle for Isaza Waraga,
ntegeka,Runyoro-Rutooro,"preparation, plan, arrangement, = nteekaniza, e-, en. y 'aruzaro, family planning",preparation,preparation,nteekaniza
ntego,Runyoro-Rutooro,enema,,,
ntema,Runyoro-Rutooro,small calabash cup,,,
ntembo,Runyoro-Rutooro,hair on the chest and abdomen,,,
ntembotembo,Runyoro-Rutooro,ascent,,,
ntende,Runyoro-Rutooro,very large bundle (ibe1lga,,,
ntendegere,Runyoro-Rutooro,"cow with short curly, loose horns",cow with short curly,cow with short curly,
ntendiigwa,Runyoro-Rutooro,"edible fruit of a bush, pigeon peas = e11koolimbo, e11k1111k11",edible fruit of a bush,edible fruit of a bush,e
ntenga,Runyoro-Rutooro,small bell-like ornament,,,below
ntengera,Runyoro-Rutooro,"shaking, Parkinson's disease, nervousness, ague",shaking,shaking,
ntengo,Runyoro-Rutooro,"a large tree, the bark of which is used to make a medicine to cure omufumbi in cows",a large tree,a large tree,
ntentebuko,Runyoro-Rutooro,"slope of a hill = nel Igo, e-",slope of a hill = nel Igo,slope of a hill = nel Igo,nel
ntenzi,Runyoro-Rutooro,a newly made shield,,,
ntereekeerrc,Runyoro-Rutooro,straight tree or pole,,,
nteruki,Runyoro-Rutooro,"shaVow soil. ntiikalya, c-, n., cl.9, (pl. same",shaVow soil. ntiikalya; red winged fraocolin = itiikalya. ntimagizi,shaVow soil. ntiikalya; red winged fraocolin = itiikalya. ntimagizi,itiikalya
ntimbe,Runyoro-Rutooro,curtain,,,
ntimbo,Runyoro-Rutooro,small Royal drum beaten while carried on the shoulder,,,
ntoijo,Runyoro-Rutooro,preceded by the appropriate genitive particle,amagita g'entojo,amagita g'entojo,
ntomatoma,Runyoro-Rutooro,fist,,,
ntondc,Runyoro-Rutooro,very nice th.ing,ekisura ky'entonde,ekisura ky'entonde,
ntondo,Runyoro-Rutooro,small species of grasshopper,,,
ntonga,Runyoro-Rutooro,"yellow St. John's wort (Hypericum peplidifolium). ntongana, c-, (pl. nil",yellow St. John's wort (Hypericum peplidifolium). ntongana; defence,yellow St. John's wort (Hypericum peplidifolium). ntongana; defence,
ntongani,Runyoro-Rutooro,"evidence, complaint",evidence,evidence,
ntongo,Runyoro-Rutooro,small piece of meat given to hunters,,,
ntongoole,Runyoro-Rutooro,kind of harp,,,
ntonzi,Runyoro-Rutooro,"small sticks of a plant rutonzi, (o-",used for making beds,used for making beds,
ntookatooke,Runyoro-Rutooro,"sweet banana juice with no water. ntoole, e, n., c/.9, (pl. same) water frog",sweet banana juice with no water. ntoole,sweet banana juice with no water. ntoole,
ntoonyera,Runyoro-Rutooro,"cuckoo-spit insect, any scaly bug",cuckoo-spit insect,cuckoo-spit insect,
ntoto,Runyoro-Rutooro,chronic ache or pain,ekigwoyagwire kikamurugirwamu e111oto; chaff,ekigwoyagwire kikamurugirwamu e111oto; chaff,
ntugiro,Runyoro-Rutooro,large earthenware vat (esp. used for beer when fermenting,,,
ntugute,Runyoro-Rutooro,pl. nil,firm blood pudding,firm blood pudding,
ntuju,Runyoro-Rutooro,animal ticks when full of blood,,,
ntulege,Runyoro-Rutooro,zebra,,,
ntundwa,Runyoro-Rutooro,very light-coloured millet (oburo,,,
nturabusa,Runyoro-Rutooro,swollen gland,,,
nturagara,Runyoro-Rutooro,grass used for making ceilings and wa.lls,,,
nturuba,Runyoro-Rutooro,"teera en., gurgle, bubble, slobber",,,
nturubende,Runyoro-Rutooro,"rat with longitudinal yellow stripes nturumu ki, e- n. cl. (pl. same",languid; rat with longitudinal yellow stripes nturumu ki,languid; rat with longitudinal yellow stripes nturumu ki,
ntuuke,Runyoro-Rutooro,metaphoric name of dogs,,,
ntuurru,Runyoro-Rutooro,"sourness, acidity, sensation of sharpness in mouth",sourness,sourness,
ntuutu,Runyoro-Rutooro,cape gooseberries,,,
nubwo,Runyoro-Rutooro,"then, after which, at that time","obuyamujumire nubwoyamutiire; obuyamujumire nubwoyamutiire, it was after he abused him/her that he/she beat him","obuyamujumire nubwoyamutiire; obuyamujumire nubwoyamutiire, it was after he abused him/her that he/she beat him",
nudity,Runyoro-Rutooro,"enjuuro, okuba kwonka, okujwara busa",,,
nuguna,Runyoro-Rutooro,sack (of puppies etc,"passfonn; passfonn, nugunwa, ku-, oku- (pf. -nugunirwe)","passfonn; passfonn, nugunwa, ku-, oku- (pf. -nugunirwe)",
nuliiririwa,Runyoro-Rutooro,"be itched, irritated",to be itched,to be itched,
nuliirra,Runyoro-Rutooro,taste sweet,to taste sweet,to taste sweet,
nulirwa,Runyoro-Rutooro,have sweet test in mouth,to have sweet test in mouth,to have sweet test in mouth,
number,Runyoro-Rutooro,"omuhendo. number, v., hara omuheodo",,,
numbness,Runyoro-Rutooro,"ekisarazi, okusarara. numerous, -ingi",see enkumbititi,see enkumbititi,enkumbititi
numbu,Runyoro-Rutooro,edible tubers of a plant (like sweet potatoes,edible tubers of a plant (like sweet potatoes),edible tubers of a plant (like sweet potatoes),
nun,Runyoro-Rutooro,"era, oroora, onkya (sick) rwaza, buya, garagaza",,,
nunka,Runyoro-Rutooro,"smell unpleasant, stink",to smell unpleasant; pr. form,to smell unpleasant; pr. form,
nunkiriza,Runyoro-Rutooro,c,to sniff; enkoko bakaba baziikire ekanunkirizibwa embwaya Businge,to sniff; enkoko bakaba baziikire ekanunkirizibwa embwaya Businge,
nunuka,Runyoro-Rutooro,"be stretched out, come out of ground, e.g mushroom",to be stretched out,to be stretched out,
nunura,Runyoro-Rutooro,"redeem, buy back",to redeem,to redeem,
nura,Runyoro-Rutooro,"taste nice, be sweet",to taste nice; ekinmgi tikinuurra matama abiri,to taste nice; ekinmgi tikinuurra matama abiri,zigisa
nurse,Runyoro-Rutooro,"omulezi, omworozi, omunywisa",omurwazi,omurwazi,
nvabenda,Runyoro-Rutooro,"first rwa hyomere, 11. cl. 9a, (pl. nil) (=rwa1 Iyeesire","first rwa hyomere, 11. cl. 9a, (pl. nil) (=rwa1 Iyeesire)","first rwa hyomere, 11. cl. 9a, (pl. nil) (=rwa1 Iyeesire)",rwa
nvakipoporo,Runyoro-Rutooro,large species of locust,,,
nvara,Runyoro-Rutooro,& v.tr,to be ill or sick; nyineeka akarwarra Buganda,to be ill or sick; nyineeka akarwarra Buganda,
nyaaka,Runyoro-Rutooro,spread about (like water,c. form; pr. form,c. form; pr. form,
nyaama,Runyoro-Rutooro,"give enema to (child), rub with medicine",,,
